trialsType,trialsNum,trialNum,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,instr1.started,instr1.stopped,fix.started,fix.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,trial2Text.started,trial2Text.stopped,trial3Mouse.x,trial3Mouse.y,trial3Mouse.leftButton,trial3Mouse.midButton,trial3Mouse.rightButton,trial3Mouse.time,trial3Mouse.started,trial3Mouse.stopped,trial3Target.started,trial3Target.stopped,trial3Home.started,trial3Home.stopped,trial3Cursor.started,trial3Cursor.stopped,trial3Num.started,trial3Num.stopped,trial3Text.started,trial3Text.stopped,trial4Mouse.started,trial4Mouse.stopped,trial4Target.started,trial4Target.stopped,trial4Home.started,trial4Home.stopped,trial4Cursor.started,trial4Cursor.stopped,trial4Num.started,trial4Num.stopped,trial4Buff.started,trial4Buff.stopped,participant,session,taskVer,date,expName,psychopyVersion,frameRate,
1,1,1,0,0,0,0,,,,,,,,,,,,,33.893951799953356,None,34.20181129989214,None,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.013318500015884638, 0.025929199997335672, 0.04779199999757111, 0.06478670006617904, 0.0813546001445502, 0.09797570016235113]",35.30956349987537,None,"[1, 1, 1, 1, 1, 1]",40,35.30956349987537,None,35.30956349987537,None,35.30956349987537,None,35.30956349987537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,2,0,1,1,1,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0061193001456558704, 0.018981799948960543, 0.0379759999923408, 0.05570719996467233, 0.07405880000442266, 0.08890700014308095, 0.10545339994132519, 0.12236110004596412, 0.13929610000923276, 0.1555174000095576, 0.17243289994075894, 0.1895459999796003]",35.41131399990991,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,35.41131399990991,None,35.41131399990991,None,35.41131399990991,None,35.41131399990991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,3,0,2,2,2,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.006426800042390823, 0.017064800020307302, 0.040213200030848384, 0.05751479999162257, 0.07478560018353164, 0.09149320004507899, 0.10781130008399487, 0.12433820008300245, 0.14284240012057126, 0.15837920014746487, 0.17441179999150336, 0.19111720006912947, 0.20802280004136264, 0.22437210008502007, 0.24090840015560389, 0.2580686002038419]",35.607319799950346,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,35.607319799950346,None,35.607319799950346,None,35.607319799950346,None,35.607319799950346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,4,0,3,3,3,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.006537199951708317, 0.017157600028440356, 0.03985019982792437, 0.058509199880063534, 0.07452589995227754, 0.09073799988254905, 0.10757839982397854, 0.12469720002263784, 0.14329040003940463]",35.87500569992699,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",50,35.87500569992699,None,35.87500569992699,None,35.87500569992699,None,35.87500569992699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,5,0,4,4,4,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0.009192799916490912, 0.022449800046160817, 0.04060659999959171, 0.05786099983379245, 0.07478449982590973]",36.030384599929675,None,"[1, 1, 1, 1, 1]",40,36.030384599929675,None,36.030384599929675,None,36.030384599929675,None,36.030384599929675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,6,0,5,5,5,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.00904530007392168, 0.019619400147348642, 0.04016700014472008, 0.05482499999925494, 0.07206590007990599, 0.08815379999577999, 0.10507620009593666, 0.12147510005161166, 0.13856100011616945, 0.15474479994736612, 0.17431830009445548]",36.11348930001259,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,36.11348930001259,None,36.11348930001259,None,36.11348930001259,None,36.11348930001259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,7,0,6,6,6,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.008927100105211139, 0.02191590005531907, 0.04036139999516308, 0.05715909996069968, 0.07352860015816987, 0.09148339997045696, 0.1061740000732243, 0.1237461999990046, 0.13951340015046299, 0.15622130013071, 0.1729779001325369, 0.18978570005856454, 0.20607650000602007, 0.22365860012359917]",36.29737919988111,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,36.29737919988111,None,36.29737919988111,None,36.29737919988111,None,36.29737919988111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,8,0,7,7,7,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005465599941089749, 0.02189380000345409, 0.040308000054210424, 0.057975499890744686, 0.07460279995575547, 0.092018699971959, 0.10828140005469322, 0.12507999991066754, 0.14127069991081953, 0.1610902000684291, 0.17500959988683462, 0.19200819986872375, 0.20783389988355339, 0.225685799960047]",36.52877989993431,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,36.52877989993431,None,36.52877989993431,None,36.52877989993431,None,36.52877989993431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,9,0,8,8,8,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005498300073668361, 0.02087870007380843, 0.03993830014951527, 0.057601100066676736, 0.07353470008820295, 0.0908894999884069, 0.10736100003123283, 0.12383860000409186, 0.1402814001776278, 0.15723320003598928, 0.173687000060454, 0.19089290010742843, 0.20741960010491312]",36.760840999893844,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,36.760840999893844,None,36.760840999893844,None,36.760840999893844,None,36.760840999893844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
1,1,10,0,9,9,9,,,,,,,,,,,,,,,,,"[0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666, 0.12760416666666666]","[0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336, 0.040364583333333336]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.009939499897882342, 0.020678299944847822, 0.04050379991531372, 0.06067189993336797, 0.07620869996026158, 0.09172379993833601, 0.10958319995552301, 0.12516209995374084, 0.14217309979721904, 0.158904799958691]",36.97654159995727,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,36.97654159995727,None,36.97654159995727,None,36.97654159995727,None,36.97654159995727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,1,2020_Jun_26_1759,pAdaptTest6,2020.1.3,60.045995275039026,
